         3576813 function calls (3520281 primitive calls) in 30.587 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11829    0.008    0.000    0.015    0.000 artist.py:288(pchanged)
     9466    0.008    0.000    0.011    0.000 threading.py:147(acquire)
    10053    0.008    0.000    0.008    0.000 {hasattr}
    11433    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0x7f32a3062da0}
       77    0.008    0.000    0.008    0.000 {method 'dot' of 'numpy.ndarray' objects}
  675/674    0.008    0.000    0.016    0.000 transforms.py:429(bounds)
     1330    0.008    0.000    0.020    0.000 path.py:204(_update_values)
2282/1570    0.008    0.000    0.033    0.000 transforms.py:2477(get_affine)
  2331/13    0.008    0.000    1.746    0.134 artist.py:47(draw_wrapper)
       58    0.008    0.000    0.008    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
     7523    0.008    0.000    0.008    0.000 {method 'expandtabs' of 'str' objects}
     9466    0.007    0.000    0.009    0.000 threading.py:187(release)
     1276    0.007    0.000    0.008    0.000 font_manager.py:835(set_weight)
        1    0.007    0.007    0.048    0.048 __init__.py:13(<module>)
   100435    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
      364    0.007    0.000    0.008    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     2689    0.007    0.000    0.009    0.000 core.py:637(get_masked_subclass)
     5211    0.007    0.000    0.007    0.000 {numpy.core.multiarray.zeros}
  982/491    0.007    0.000    0.080    0.000 transforms.py:2399(frozen)
    11678    0.007    0.000    0.008    0.000 sre_parse.py:194(__next)
      323    0.007    0.000    0.011    0.000 doccer.py:128(indentcount_lines)
76863/73585    0.007    0.000    0.018    0.000 {hash}
     2269    0.007    0.000    0.075    0.000 markers.py:251(set_marker)
     1370    0.006    0.000    0.021    0.000 path.py:170(_fast_from_codes_and_verts)
     1227    0.006    0.000    0.040    0.000 text.py:136(__init__)
     5059    0.006    0.000    0.096    0.000 re.py:230(_compile)
      368    0.006    0.000    0.027    0.000 core.py:919(__call__)
     5321    0.006    0.000    0.020    0.000 collections.py:149(pop)
     5321    0.006    0.000    0.031    0.000 collections.py:170(popitem)
     1584    0.006    0.000    0.036    0.000 transforms.py:2044(translate)
     4490    0.006    0.000    0.033    0.000 colors.py:119(to_rgba)
     4538    0.006    0.000    0.057    0.000 markers.py:200(_recache)
     9233    0.006    0.000    0.013    0.000 numeric.py:495(asanyarray)
     4557    0.006    0.000    0.006    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      790    0.006    0.000    0.024    0.000 core.py:2765(__new__)
     1335    0.006    0.000    0.031    0.000 functools_lru_cache.py:120(wrapper)
      472    0.006    0.000    0.263    0.001 patches.py:140(contains)
     1744    0.006    0.000    0.015    0.000 lines.py:1053(set_linestyle)
     3932    0.005    0.000    0.012    0.000 artist.py:618(set_figure)
     7532    0.005    0.000    0.005    0.000 {method 'splitlines' of 'str' objects}
     4988    0.005    0.000    0.018    0.000 artist.py:66(_stale_axes_callback)
     1988    0.005    0.000    0.031    0.000 transforms.py:2058(scale)
     3900    0.005    0.000    0.013    0.000 font_manager.py:981(_normalize_font_family)
      155    0.005    0.000    0.344    0.002 backend_bases.py:1520(__init__)
     3488    0.005    0.000    0.008    0.000 lines.py:1021(_split_drawstyle_linestyle)
     1066    0.005    0.000    0.014    0.000 stride_tricks.py:195(broadcast_arrays)
     5934    0.005    0.000    0.005    0.000 core.py:3562(_get_data)
     1066    0.005    0.000    0.006    0.000 stride_tricks.py:176(_broadcast_shape)
      308    0.005    0.000    0.005    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     3858    0.005    0.000    0.029    0.000 fromnumeric.py:1934(any)
     1430    0.005    0.000    0.011    0.000 text.py:185(update)
15090/15054    0.005    0.000    0.007    0.000 abstract.py:110(__hash__)
    12945    0.005    0.000    0.007    0.000 six.py:604(iteritems)
     1110    0.005    0.000    0.010    0.000 shape_base.py:330(column_stack)
      982    0.005    0.000    0.011    0.000 transforms.py:2501(__init__)
2372/1932    0.005    0.000    0.078    0.000 spines.py:440(get_spine_transform)
     1194    0.005    0.000    0.016    0.000 backend_bases.py:859(__init__)
     1867    0.005    0.000    0.015    0.000 artist.py:872(_update_property)
    27980    0.005    0.000    0.005    0.000 artist.py:202(axes)
     1195    0.005    0.000    0.031    0.000 transforms.py:806(from_extents)
        2    0.005    0.002    0.005    0.002 {posix.read}
      418    0.005    0.000    0.010    0.000 sre_compile.py:256(_optimize_charset)
     4383    0.005    0.000    0.084    0.000 {method 'view' of 'numpy.ndarray' objects}
        2    0.005    0.002    0.006    0.003 decoder.py:370(raw_decode)
2130/2107    0.005    0.000    0.022    0.000 transforms.py:2652(get_matrix)
    66047    0.005    0.000    0.005    0.000 {id}
     5421    0.005    0.000    0.005    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
2408/1938    0.005    0.000    0.299    0.000 transforms.py:2457(transform_non_affine)
     1744    0.005    0.000    0.006    0.000 lines.py:1383(set_dash_capstyle)
     2883    0.005    0.000    0.005    0.000 {range}
     4509    0.005    0.000    0.023    0.000 __init__.py:1999(_to_unmasked_float_array)
     5321    0.005    0.000    0.010    0.000 collections.py:81(__delitem__)
     2540    0.005    0.000    0.007    0.000 text.py:1170(set_text)
   1824/3    0.005    0.000    0.048    0.016 artist.py:399(pick)
    13902    0.005    0.000    0.011    0.000 core.py:1354(getmask)
      996    0.005    0.000    0.177    0.000 patches.py:186(get_transform)
      364    0.005    0.000    0.059    0.000 backend_agg.py:183(draw_text)
1376/1304    0.005    0.000    0.255    0.000 transforms.py:1410(transform)
      185    0.004    0.000    0.004    0.000 {built-in method globalsetvar}
     1744    0.004    0.000    0.022    0.000 lines.py:1166(set_markerfacecolor)
     4360    0.004    0.000    0.024    0.000 numeric.py:2857(__enter__)
     1326    0.004    0.000    0.008    0.000 font_manager.py:1007(make_rcparams_key)
      383    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
     2084    0.004    0.000    0.004    0.000 {numpy.core.multiarray.copyto}
   172/11    0.004    0.000    0.183    0.017 Tkinter.py:2098(destroy)
     9571    0.004    0.000    0.004    0.000 {numpy.core.umath.seterrobj}
    21186    0.004    0.000    0.006    0.000 {method 'pop' of 'dict' objects}
      684    0.004    0.000    0.004    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      460    0.004    0.000    0.785    0.002 text.py:898(get_window_extent)
 2065/557    0.004    0.000    0.005    0.000 sre_parse.py:152(getwidth)
     1094    0.004    0.000    0.019    0.000 core.py:3178(__getitem__)
