         5576685 function calls (5385459 primitive calls) in 33.586 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      254    0.012    0.000    0.016    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    29453    0.012    0.000    0.026    0.000 types.py:32(__ne__)
    18892    0.012    0.000    0.016    0.000 builder.py:240(_insert)
      921    0.012    0.000    0.067    0.000 core.py:1001(__call__)
    14666    0.011    0.000    0.023    0.000 values.py:527(__iter__)
54716/54693    0.011    0.000    0.019    0.000 {method 'join' of 'str' objects}
     4468    0.011    0.000    0.016    0.000 font_manager.py:707(__hash__)
  869/868    0.011    0.000    0.020    0.000 transforms.py:429(bounds)
      423    0.011    0.000    0.253    0.001 scale.py:304(transform_non_affine)
     5562    0.011    0.000    0.144    0.000 pythonapi.py:206(decref)
     6359    0.011    0.000    0.016    0.000 core.py:664(getdata)
     6263    0.011    0.000    0.057    0.000 builder.py:631(load)
    16240    0.010    0.000    0.010    0.000 _weakrefset.py:70(__contains__)
     3156    0.010    0.000    0.027    0.000 artist.py:868(update)
23915/23899    0.010    0.000    0.014    0.000 types.py:129(__eq__)
    10249    0.010    0.000    0.011    0.000 numeric.py:2560(geterr)
       29    0.010    0.000    0.123    0.004 __init__.py:1(<module>)
     7478    0.010    0.000    0.065    0.000 pyparsing.py:1465(set)
 1386/693    0.010    0.000    0.115    0.000 transforms.py:2399(frozen)
22268/22150    0.010    0.000    0.014    0.000 abstract.py:110(__hash__)
4931/3817    0.010    0.000    0.018    0.000 contextlib.py:21(__exit__)
    15102    0.010    0.000    0.029    0.000 numeric.py:424(asarray)
    12335    0.010    0.000    0.015    0.000 values.py:229(_get_reference)
      871    0.009    0.000    0.017    0.000 core.py:840(__call__)
     4231    0.009    0.000    0.009    0.000 {numpy.core.multiarray.concatenate}
       24    0.009    0.000    0.037    0.002 postproc.py:173(_patch_var_dels)
       20    0.009    0.000    0.009    0.000 module.py:89(verify)
     5562    0.009    0.000    0.184    0.000 objmode.py:584(decref)
  561/473    0.009    0.000    0.455    0.001 axis.py:68(__init__)
     9602    0.009    0.000    0.012    0.000 threading.py:147(acquire)
 1766/170    0.009    0.000    0.025    0.000 sre_compile.py:64(_compile)
     1988    0.009    0.000    0.044    0.000 transforms.py:2044(translate)
        1    0.009    0.009    0.009    0.009 Tkinter.py:31(<module>)
    61959    0.008    0.000    0.008    0.000 artist.py:723(get_animated)
       58    0.008    0.000    0.008    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
    11639    0.008    0.000    0.014    0.000 artist.py:288(pchanged)
       85    0.008    0.000    0.012    0.000 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    44223    0.008    0.000    0.008    0.000 _utils.py:15(is_used)
     6263    0.008    0.000    0.021    0.000 instructions.py:391(descr)
     5277    0.008    0.000    0.037    0.000 transforms.py:124(invalidate)
    11179    0.008    0.000    0.008    0.000 {hasattr}
     6322    0.008    0.000    0.019    0.000 weakref.py:362(__getitem__)
  2295/13    0.008    0.000    1.729    0.133 artist.py:47(draw_wrapper)
     7215    0.008    0.000    0.014    0.000 core.py:76(function)
     9602    0.008    0.000    0.010    0.000 threading.py:187(release)
     2300    0.008    0.000    0.300    0.000 values.py:736(descr)
2268/1558    0.008    0.000    0.034    0.000 transforms.py:2477(get_affine)
     2142    0.008    0.000    0.102    0.000 builder.py:186(if_then)
90106/86809    0.008    0.000    0.018    0.000 {hash}
       26    0.008    0.000    0.008    0.000 {method 'create_filled_contour' of 'matplotlib.QuadContourGenerator' objects}
      674    0.008    0.000    0.371    0.001 patches.py:140(contains)
       19    0.008    0.000    0.008    0.000 linker.py:6(link_modules)
     7523    0.007    0.000    0.007    0.000 {method 'expandtabs' of 'str' objects}
     1386    0.007    0.000    0.016    0.000 transforms.py:2501(__init__)
     2987    0.007    0.000    0.009    0.000 core.py:637(get_masked_subclass)
        1    0.007    0.007    0.016    0.016 api.py:39(__init__)
     5529    0.007    0.000    0.007    0.000 {numpy.core.multiarray.zeros}
    15044    0.007    0.000    0.010    0.000 values.py:516(__init__)
     1315    0.007    0.000    0.018    0.000 path.py:204(_update_values)
      352    0.007    0.000    0.008    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.007    0.007    0.531    0.531 main.py:19(<module>)
    12120    0.007    0.000    0.008    0.000 sre_parse.py:194(__next)
    10565    0.007    0.000    0.007    0.000 {range}
      163    0.007    0.000    0.452    0.003 backend_bases.py:1520(__init__)
      323    0.007    0.000    0.011    0.000 doccer.py:128(indentcount_lines)
     5088    0.007    0.000    0.076    0.000 re.py:230(_compile)
     1256    0.007    0.000    0.007    0.000 font_manager.py:835(set_weight)
      423    0.007    0.000    0.028    0.000 core.py:919(__call__)
     1384    0.007    0.000    0.023    0.000 path.py:170(_fast_from_codes_and_verts)
      938    0.007    0.000    0.224    0.000 objmode.py:560(cleanup_vars)
     1034    0.007    0.000    0.055    0.000 instructions.py:174(set_weights)
     2153    0.006    0.000    0.011    0.000 types.py:79(__call__)
2512/2489    0.006    0.000    0.029    0.000 transforms.py:2652(get_matrix)
     5321    0.006    0.000    0.021    0.000 collections.py:149(pop)
     4869    0.006    0.000    0.006    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1391    0.006    0.000    0.039    0.000 transforms.py:806(from_extents)
     5321    0.006    0.000    0.032    0.000 collections.py:170(popitem)
     5533    0.006    0.000    0.010    0.000 values.py:115(__init__)
     2227    0.006    0.000    0.066    0.000 markers.py:251(set_marker)
9065/9004    0.006    0.000    0.008    0.000 abstract.py:113(__eq__)
      854    0.006    0.000    0.025    0.000 core.py:2765(__new__)
     1198    0.006    0.000    0.291    0.000 patches.py:186(get_transform)
     4430    0.006    0.000    0.030    0.000 colors.py:119(to_rgba)
     6263    0.006    0.000    0.040    0.000 instructions.py:386(__init__)
     1207    0.006    0.000    0.035    0.000 text.py:136(__init__)
    11752    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x7f103b292da0}
        2    0.006    0.003    0.006    0.003 {posix.read}
      994    0.006    0.000    0.079    0.000 transforms.py:2032(rotate_deg_around)
     1034    0.006    0.000    0.036    0.000 module.py:47(add_metadata)
     9036    0.006    0.000    0.012    0.000 numeric.py:495(asanyarray)
     7234    0.006    0.000    0.006    0.000 types.py:172(__init__)
     1386    0.006    0.000    0.015    0.000 transforms.py:2545(get_matrix)
     5974    0.006    0.000    0.031    0.000 base.py:429(get_value_type)
      878    0.005    0.000    0.005    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     7534    0.005    0.000    0.005    0.000 {method 'splitlines' of 'str' objects}
     4454    0.005    0.000    0.050    0.000 markers.py:200(_recache)
